Acacia terminalis subsp. terminalis MS
Acanthiza iredalei rosinae
Acanthiza lineata whitei
Acanthiza pusilla magnirostris
Acanthophis hawkei
Eucalyptus lateritica
Eucalyptus paludicola
Eucalyptus sp. Cattai (Gregson s.n.
Eulamprus kosciuskoi
Eulamprus leuraensis
Eulamprus tympanum marnieae
Falco hypoleucos
Falcunculus frontatus whitei
Fontainea sp. Coffs Harbour (A.S. Benwell 341
Fregata andrewsi
Fregetta grallaria grallaria
Furina dunmalli
Gadopsis sp. SWV
Galaxias aequipinnis
Galaxias auratus
Galaxias brevissimus
Galaxias fontanus
Galaxias fuscus
Galaxias gunaikurnai
Galaxias johnstoni
Galaxias lanceolatus
Galaxias longifundus
Galaxias mungadhan
Galaxias parvus
Galaxias pedderensis
Galaxias rostratus
Galaxias sp. nov. 'Hunter'
Galaxias sp. nov. 'Moroka'
Galaxias sp. nov. 'Morwell'
Galaxias sp. nov. 'Yalmy'
Galaxias supremus
Galaxias tantangara
Galaxias tanycephalus
Galaxias terenasus
Galaxias truttaceus (Western Australian population)
Galaxiella munda
Galaxiella nigrostriata
Galaxiella pusilla
Galeorhinus galeus
Gallinago hardwickii
Galxias mcdowalli
Geocrinia alba
Geocrinia vitellina
Geophaps scripta scripta
Geophaps smithii blaauwi
Geophaps smithii smithii
Gerygone insularis
Glyphis garricki
Glyphis glyphis
Grantiella picta
Gudeoconcha sophiae magnifica
Gymnobelideus leadbeateri
Haliotis rubiginosa
Halobaena caerulea
Harrisoniascincus zia
Heleioporus australiacus australiacus
Heleioporus australiacus flavopunctatus
Hemiaspis damelii
Hemibelideus lemuroides
Hemiphaga novaeseelandiae spadicea
Hesperocolletes douglasi
Hippocampus whitei
Hipposideros inornatus
Hipposideros semoni
Hirundapus caudacutus
Hoplocephalus bungaroides
Hoplogonus bornemisszai
Hoplogonus simsoni
Hoplogonus vanderschoori
Hoplostethus atlanticus
Hylacola cauta halmaturina
Hypocalymma sp. Cascade (R. Bruhn 20896)
Hypochrysops piceatus
Hypolimnus pedderensis
Hypotaenidia philippensis andrewsi
Hypotaenidia philippensis macquariensis
Hypotaenidia sylvestris
Hypseleotris gymnocephala
Hyridella glenelgensis
Idiosoma nigrum
Isoodon auratus auratus
Isoodon auratus barrowensis
Isoodon obesulus nauticus
Isoodon obesulus obesulus
Keyacris scurra
Kumonga exleyi
Lagorchestes asomatus
Lagorchestes conspicillatus conspicillatus
Lagorchestes hirsutus bernieri
Lagorchestes hirsutus dorreae
Lagorchestes hirsutus hirsutus
Lagorchestes hirsutus central Australian subsp.
Lagorchestes leporides
Lagostrophus fasciatus albipilis
Lagostrophus fasciatus fasciatus
Lalage leucopyga leucopyga
Lampropholis elongata
Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381)
Lasiorhinus krefftii
Lathamus discolor
Latrobea colophona
Leioproctus douglasiellus
Leipoa ocellata
Lenwebbia sp. Main Range (P.R. Sharpe+4877)
Lepidochelys olivacea
Lepidodactylus listeri
Leporillus apicalis
Leporillus conditor
Lerista allanae
Lerista colliveri
Lerista nevinae
Lerista rochfordensis
Lerista vittata
Leucocarbo atriceps nivalis
Leucocarbo atriceps purpurascens
Leucopatus anophthalmus
Leucopogon sp. Flynn (F.Hort
Leucopogon sp. Ongerup (A.S. George 16682)
Lewinia pectoralis clelandi
Liasis olivaceus barroni
Lichenostomus melanops cassidix
Limnodromus semipalmatus
Limosa lapponica baueri
Limosa lapponica menzbieri
Limosa limosa
Liopholis guthega
Liopholis kintorei
Liopholis montana
Liopholis pulchra longicauda
Liopholis slateri slateri
Lissolepis coventryi
Lissotes latidens
Litoria aurea
Litoria booroolongensis
Litoria castanea
Litoria daviesae
Litoria dayi
Litoria kroombitensis
Litoria littlejohni
Litoria lorica
Litoria myola
Litoria nyakalensis
Litoria olongburensis
Litoria piperata
Litoria raniformis
Litoria spenceri
Litoria subglandulosa
Litoria verreauxii alpina
Litoria watsoni
Lophochroa leadbeateri leadbeateri
Lucasium occultum
Maccullochella ikei
Maccullochella macquariensis
Maccullochella mariensis
Maccullochella peelii
Macquaria australasica
Macroderma gigas
Macronectes giganteus
Macronectes halli
Macrotis lagotis
Macrotis leucura
Malurus coronatus coronatus
Malurus leucopterus edouardi
Malurus leucopterus leucopterus
Manorina melanotis
Marginaster littoralis
Mastacomys fuscus mordicus
Mathewsoconcha grayi ms.
Mathewsoconcha phillipii
Mathewsoconcha suteri
Megascolides australis
Melaleuca sp. Wanneroo (G.J. Keighery 16705)
Melanodryas cucullata cucullata
Melanodryas cucullata melvillensis
Melanotaenia eachamensis
Melanotaenia sp. nov. 'Malanda'
Melanotaenia sp. nov. 'Running River'
Melithreptus brevirostris magnirostris
Melomys rubicola
Meridolum maryae
Mesembriomys gouldii gouldii
Mesembriomys gouldii melvillensis
Mesembriomys gouldii rattoides
Mesodontrachia fitzroyana
Micropathus kiernani
Milyeringa justitia
Milyeringa veritas
Miniopterus orianae bassanii
Mirafra javanica melvillensis
Mirounga leonina
Mixophyes balbus
Mixophyes fleayi
Mixophyes iteratus
Moggridgea rainbowi
Mogurnda adspersa (Murray-Darling Basin population)
Mogurnda clivicola
Mogurnda thermophila
Mordacia praecox
Myrmecobius fasciatus
Mystivagor mastersi
Myuchelys belli
Myuchelys purvisi
Nangura spinosa
Nannatherina balstoni
Nannoperca australis Murray-Darling Basin lineage
Nannoperca obscura
Nannoperca oxleyana
Nannoperca pygmaea
Nannoperca variegata
Natator depressus
Neoceratodus forsteri
Neochmia ruficauda ruficauda
Neopasiphae simplicior
Neophema chrysogaster
Neophema chrysostoma
Neophoca cinerea
Neosilurus gloveri
Nereia lophocladia
Nesoptilotis leucotis thomasi
Nestor productus
Ninox natalis
Ninox novaeseelandiae albaria
Ninox novaeseelandiae undulata
Nitella parooensis
Notamacropus greyi
Notamacropus parma
Notechis scutatus ater
Notomys amplus
Notomys aquilo
Notomys fuscus
Notomys longicaudatus
Notomys macrotis
Notomys mordax
Notomys robustus
Numenius madagascariensis
Nyctophilopython oenpelliensis
Nyctophilus corbeni
Nyctophilus howensis
Oedura lineata
Ogyris subterrestris petrina
Oligosoma lichenigerum
Onychogalea fraenata
Onychogalea lunata
Ophidiocephalus taeniatus
Ophisternon candidum
Orcaella heinsohni
Ordtrachia septentrionalis
Oreisplanus munionga larana
Oreixenica ptunarra
Orraya occultus
Osphranter robustus isabellinus
Pachycephala pectoralis xanthoprocta
Pachycephala rufogularis
Pachyptila turtur subantarctica
Papasula abbotti
Paragalaxias dissimilis
Paragalaxias eleotroides
Paragalaxias mesotes
Paralucia pyrodiscus lucida
Paralucia spinifera
Parantechinus apicalis
Pardalotus quadragintus
Parvulastra vivipara
Pedionomus torquatus
Perameles bougainville
Perameles bougainville fasciata
Perameles eremiana
Perameles gunnii gunnii
Perameles gunnii Victorian subsp.
Perameles myosurus
Perameles notina
Perameles papillon
Pericryptodrilus nanus
Petauroides minor
Petauroides volans
Petaurus australis australis
Petaurus australis Wet Tropics subspecies
Petaurus gracilis
Petrogale coenensis
Petrogale concinna canescens
Petrogale concinna concinna
Petrogale concinna monastria
Petrogale lateralis centralis
Petrogale lateralis hacketti
Petrogale lateralis kimberleyensis
Petrogale lateralis lateralis
Petrogale penicillata
Petrogale persephone
Petrogale sharmani
Petrogale xanthopus celeris
Petrogale xanthopus xanthopus
Petroica multicolor
Pezoporus flaviventris
Pezoporus occidentalis
Phaethon lepturus fulvus
Phaethon rubricauda westralis
Phascogale calura
Phascogale pirata
Phascogale tapoatafa kimberleyensis
Phascolarctos cinereus (combined populations of Queensland
Philoria frosti
Philoria knowlesi
Philoria kundagungan
Philoria pughi
Philoria richmondensis
Philoria sphagnicola
Phoebetria fusca
Phyllodes imperialis smithersi
Phyllurus caudiannulatus
Phyllurus gulbaru
Phyllurus kabikabi
Phyllurus pinnaclensis
Pipistrellus murrayi
Placostylus bivaricosus
Platycercus caledonicus brownii
Platycercus elegans melanopterus
Pluvialis squatarola
Poephila cincta cincta
Polytelis alexandrae
Polytelis anthopeplus monarchoides
Polytelis swainsonii
Pommerhelix duralensi
Porphyrio albus
Potorous gilbertii
Potorous longipes
Potorous platyops
Potorous tridactylus tridactylus
Potorous tridactylus trisulcatus
Prasophyllum colemaniae
Prasophyllum littorale
Pristis clavata
Pristis pristis
Pristis zijsron
Probosciger aterrimus macgillivrayi
Promethis sterrha
Prototroctes maraena
Psephotus chrysopterygius
Psephotus pulcherrimus
Pseudemoia cryodrom
Pseudemoia rawlinsoni
Pseudemydura umbrina
Pseudocephalozia paludicola
Pseudocharopa ledgbirdi
Pseudocharopa whiteleggei
Pseudocheirus occidentalis
Pseudococcus markharveyi
Pseudomugil mellis
Pseudomys auritus
Pseudomys australis
Pseudomys fieldi
Pseudomys fumeus
Pseudomys glaucus
Pseudomys gouldii
Pseudomys novaehollandiae
Pseudomys oralis
Pseudomys pilligaensis
Pseudomys shortridgei
Pseudophryne corroboree
Pseudophryne covacevichae
Pseudophryne pengilleyi
Psophodes leucogaster leucogaster
Psophodes nigrogularis lashmari
Psophodes nigrogularis nigrogularis
Pterodroma heraldica
Pterodroma leucoptera leucoptera
Pterodroma mollis
Pterodroma neglecta neglecta
Pteropus brunneus
Pteropus conspicillatus
Pteropus natalis
Pteropus poliocephalus
Pycnoptilus floccosus
Quintalia stoddartii
Ramphotyphlops exocoeti
Rattus macleari
Rattus nativitatis
Rexea solandri (eastern Australian population)
Rheobatrachus silus
Rheobatrachus vitellinus
Rheodytes leukops
Rhincodon typus
Rhinolophus robertsi
Rhinonicteris aurantia (Pilbara form)
Rhipidura fuliginosa cervina
Riekoperla darlingtoni
Rostratula australis
Saccolaimus saccolaimus nudicluniatus
Saltuarius eximius
Saltuarius kateae
Saltuarius moritzi
Saltuarius wyberba
Sarcophilus harrisii
Scaturiginichthys vermeilipinnis
Semotrachia euzyga
Seriolella brama
Setonix brachyurus
Sinumelon bednalli
Sminthopsis butleri
Sminthopsis douglasi
Sminthopsis fuliginosa aitkeni
Sminthopsis psammophila
Sousa sahulensis
Sphyrna lewini
Spicospina flammocaerulea
Stagonopleura bella samueli
Stagonopleura guttata
Sterna vittata bethunei
Sterna vittata vittata
Sternula albifrons
Sternula nereis nereis
Stiphodon semoni
Stipiturus malachurus halmaturinus
Stipiturus malachurus intermedius
Stipiturus malachurus parimeda
Stipiturus mallee
Strepera fuliginosa colei
Strepera graculina crissalis
Strophurus horneri
Styphelia longissima Critically
Synaphea sp. Serpentine (G.R. Brand 103)
Synaphea sp. Pinjarra Plain (A.S. George 17182)
Synemon plana
Tachyglossus aculeatus multiaculeatus
Taudactylus acutirostris
Taudactylus diurnus
Taudactylus eungellensis
Taudactylus pleione
Taudactylus rheophilus
Thalassarche bulleri
Thalassarche bulleri platei
Thalassarche carteri
Thalassarche cauta
Thalassarche chrysostoma
Thalassarche eremita
Thalassarche impavida
Thalassarche melanophris
Thalassarche salvini
Thalassarche steadi
Thaumatoperla alpina
Thelymitra orientalis Critically
Thersites mitchellae
Thinornis cucullatus cucullatus
Thylacinus cynocephalus
Thymichthys politus
Tiliqua adelaidensis
Tiliqua scincoides intermedia
Trichosurus vulpecula arnhemensis
Tringa nebularia
Trioza barrettae
Trisyntopa scatophaga
Turdus poliocephalus erythropleurus
Turdus poliocephalus poliocephalus
Turdus poliocephalus vinitinctus
Turnix melanogaster
Turnix olivii
Turnix varius scintillans
Tympanocryptis lineata
Tympanocryptis maccartneyi
Tympanocryptis osbornei
Tympanocryptis pinguicolla Critically
Tympanocryptis condaminensis
Typhonium taylori
Tyto novaehollandiae castanops (Tasmanian population)
Tyto novaehollandiae kimberli
Tyto novaehollandiae melvillensis
Uperoleia daviesae
Uperoleia mahonyi
Uperoleia martini
Uvidicolus sphyrurus
Varanus mertensi
Varanus mitchelli
Westralunio carteri
Wollumbinia georgesi
Xenus cinereus
Xeromys myoides
Zearaja maugeana
Zephyrarchaea austini
Zoothera lunulata halmaturina
Zosterops albogularis
Zosterops strenuus
Zyzomys maini
Zyzomys palatalis
Zyzomys pedunculatus
Vanvoorstia bennettiana
Lychnothamnus barbatus
